year,bw,deg,excl,b,boot_se
2023,5000.0,5,5,3.594526934889063,
2023,5000.0,7,2,2.2269550969709146,
2023,5000.0,7,3,2.7146023477723924,
2023,5000.0,7,5,3.278464648486999,
2023,10000.0,3,2,1.7713712872249576,
2023,10000.0,3,3,2.1527744008869334,
2023,10000.0,3,5,2.4572432187857434,
2023,10000.0,5,2,1.6172482562917556,
2023,10000.0,5,3,1.967010528194361,
2023,10000.0,5,5,2.1808874007435137,
2023,10000.0,7,2,1.4811694660695405,
2023,10000.0,7,3,1.7957208298085605,
2023,10000.0,7,5,1.871194195547137,
2023,20000.0,3,2,0.565982851406736,
2023,20000.0,3,3,0.7510887288097563,
2023,20000.0,3,5,0.8560909526807593,
2023,20000.0,5,2,0.46204110637922385,
2023,20000.0,5,3,0.6475959489549687,
2023,20000.0,5,5,0.755992508370357,
2023,20000.0,7,2,0.35849518449471285,
2023,20000.0,7,3,0.533050950358119,
2023,20000.0,7,5,0.48176105623275506,
2023,10000.0,5,3,1.967010528194361,0.08180684012994567
2024,5000.0,3,2,1.2125837824122625,
2024,5000.0,3,3,1.5656904725146135,
2024,5000.0,3,5,1.9979077414057345,
2024,5000.0,5,2,1.1014188213753844,
2024,5000.0,5,3,1.412955792660278,
2024,5000.0,5,5,1.7612298111441844,
2024,5000.0,7,2,1.0514818688716592,
2024,5000.0,7,3,1.3492589167621452,
2024,5000.0,7,5,1.6694652269412,
2024,10000.0,3,2,0.8832648907961244,
2024,10000.0,3,3,1.0929600910611914,
2024,10000.0,3,5,1.3321792026044383,
2024,10000.0,5,2,0.7837731075903934,
2024,10000.0,5,3,0.9510352579212639,
2024,10000.0,5,5,1.0994447002866599,
2024,10000.0,7,2,0.7487190986753807,
2024,10000.0,7,3,0.9098342509726974,
2024,10000.0,7,5,1.0521302941361963,
2024,20000.0,3,2,0.35269150684547207,
2024,20000.0,3,3,0.45658709788693735,
2024,20000.0,3,5,0.6190649293009076,
2024,20000.0,5,2,0.2703630126224798,
2024,20000.0,5,3,0.34583206589910187,
2024,20000.0,5,5,0.47750059246433807,
2024,20000.0,7,2,0.23429596880527925,
2024,20000.0,7,3,0.3183824408301998,
2024,20000.0,7,5,0.5668586964156186,
2024,10000.0,5,3,0.9510352579212639,0.062087851511137604
2025,2500.0,3,2,0.6312872035448189,
2025,2500.0,3,3,0.8012091254556601,
2025,2500.0,3,5,1.0130255264936516,
2025,2500.0,5,2,0.5743955967233244,
2025,2500.0,5,3,0.7213434026995572,
2025,2500.0,5,5,0.8857457467759869,
2025,2500.0,7,2,0.5532161948531558,
2025,2500.0,7,3,0.6948373710730424,
2025,2500.0,7,5,0.849416525493353,
2025,5000.0,3,2,0.44980481340918915,
2025,5000.0,3,3,0.5235078956607947,
2025,5000.0,3,5,0.6571070749160561,
2025,5000.0,5,2,0.39483802856226474,
2025,5000.0,5,3,0.43961501330314695,
2025,5000.0,5,5,0.5141748062214574,
2025,5000.0,7,2,0.381257568837196,
2025,5000.0,7,3,0.4199810814526775,
2025,5000.0,7,5,0.4926688384969625,
2025,10000.0,3,2,0.1672218978366391,
2025,10000.0,3,3,0.22493607164999008,
2025,10000.0,3,5,0.32408127510815854,
2025,10000.0,5,2,0.1066775295617725,
2025,10000.0,5,3,0.12820106400401463,
2025,10000.0,5,5,0.10075068600907545,
2025,10000.0,7,2,0.11321631179948542,
2025,10000.0,7,3,0.16446580061211716,
2025,10000.0,7,5,0.2611395228696197,
2025,5000.0,5,3,0.43961501330314695,0.05087449269093483
